ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,REDS,6,4,3,0,0,0,1,0
2,CHIEFS,1,0,4,0,1,1,4,0
3,REBELS,2,2,2,0,0,0,5,0
4,FORCE,4,2,1,0,2,1,1,0
5,REDS,5,2,0,0,0,0,0,0
6,WARATAHS,1,1,2,0,3,2,3,0
8,CHEETAHS,2,2,2,0,0,0,1,0
9,BLUES,1,0,3,0,1,1,3,0
10,REBELS,1,0,1,0,1,1,2,0
11,HIGHLANDERS,4,4,1,0,2,1,2,0
12,WARATAHS,1,1,1,0,1,1,2,0
13,STORMERS,2,1,4,0,1,1,5,1
14,LIONS,4,2,2,0,2,2,2,0
16,BULLS,3,2,1,0,1,1,3,0
17,FORCE,5,4,0,0,2,2,2,0
18,CRUSADERS,3,3,1,0,4,1,5,0
19,STORMERS,6,3,1,0,1,1,4,0
20,HURRICANES,0,0,3,0,4,3,1,0
